title,control_title,Mod,priority,Recommendation Steps/Approach,COST,Unnamed: 6
RDS,RDS DB instances should be configured to copy tags to snapshots,Compliance,p3,"To configure RDS DB instances to copy tags to snapshots, log into the AWS Management Console, navigate to the RDS dashboard, and select your DB instance. Click on Modify, and in the ""Snapshot"" section, enable the option to Copy Tags to Snapshot. Save the changes and choose to apply them immediately or during the next maintenance window.
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html",Cost: None/$0 ,
RDS,An RDS event notifications subscription should be configured for critical database instance events,Compliance,p3,"To configure an RDS event notifications subscription for critical database instance events, log into the AWS Management Console and navigate to the RDS dashboard. Select ""Event subscriptions"" and create a new subscription by selecting the RDS instance and the types of events you want to receive notifications for. Specify the notification method, such as an SNS topic. 
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Events.html#USER_Events.Subscribing",Cost: None/$0 ,
RDS,RDS DB instances should be in a backup plan,Compliance,p3,"To ensure that your RDS DB instances are included in a backup plan, verify that automated backups are enabled. Log into the AWS Management Console, select your RDS instance, click on Modify, and ensure that the Backup retention period is set to a value greater than 0. Save changes and apply them either immediately or during the next maintenance window
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html",Cost: None/$0 ,
RDS,RDS DB instances should not use public subnet,Compliance,p3,"To ensure that your RDS instances do not use public subnets, check the subnet configuration when creating the instance. Log into the AWS Management Console, navigate to the VPC dashboard, and verify that the selected subnet for your RDS instance is private. If needed, launch a new RDS instance in a private subnet
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_VPC.html",Cost: None/$0 ,
RDS,RDS PostgreSQL DB instances should not be exposed to local file read vulnerability,Compliance,p3,"To protect RDS PostgreSQL instances from local file read vulnerabilities, ensure that the appropriate configurations are set. Verify that the local_file setting is disabled in your instance parameters. Log into the AWS Management Console, navigate to the RDS dashboard, select your PostgreSQL instance, and modify the DB parameter group settings

https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html",Cost: None/$0 ,
RDS,RDS DB instance should be protected by backup plan,Compliance,p3,"To protect your RDS DB instances with a backup plan, ensure that automated backups are enabled. Log into the AWS Management Console, select your RDS instance, and click on Modify. Ensure that the Backup retention period is greater than 0 days, and apply the changes immediately or during the next maintenance window
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html",Cost: None/$0 ,
RDS,An RDS event notifications subscription should be configured for critical database parameter group events,Compliance,p3,"To configure an RDS event notifications subscription for critical database parameter group events, log into the AWS Management Console, navigate to the RDS dashboard, and select ""Event subscriptions."" Create a new subscription and select the parameter group events you wish to monitor. Specify the notification method, such as an SNS topic.
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Events.html#USER_Events.Subscribing",Cost: None/$0 ,
S3,S3 buckets static website hosting should be disabled,Compliance,p3,"Go to the AWS S3 console, select the desired bucket, and navigate to the ""Properties"" tab. Scroll down to the ""Static website hosting"" section, click ""Edit,"" select ""Disable,"" and save the changes.",Cost: None/$0 ,
Security,VPC EIPs should be associated with an EC2 instance or ENI,AWS Well-Architected Framework,p3,Ensure that VPC Elastic IPs (EIPs) are associated with an EC2 instance or an Elastic Network Interface (ENI). Steps: 1. Audit EIP settings. 2. Reassign as necessary. # REF:https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ElasticIPs.html,Cost: None/$0 ,
Security,SQS queue policies should prohibit public access,AWS Well-Architected Framework,p3,Ensure SQS queue policies prohibit public access. Steps: 1. Review queue policies. 2. Adjust policies to restrict public access. # REF:https://docs.aws.amazon.com/AWSSimpleQueueService/latest/SQSDeveloperGuide/sqs-access-policy.html,Cost: None/$0 ,
VPC,VPC flow logs should be enabled,Compliance,p3,"Open the VPC console, select your VPC, choose Create flow log from the actions menu, configure the settings for traffic filtering and log destination, and then create the flow log.
Reference: https://docs.aws.amazon.com/config/latest/developerguide/vpc-flow-logs-enabled.html",Costs may apply (based on log storage and data transfer),
VPC,VPC network access control lists (network ACLs) should be associated with a subnet.,Compliance,p3,"Create a Network ACL in the VPC Dashboard, define inbound/outbound rules to allow/deny specific IPs and ports. Then, associate the ACL with your desired subnets under Subnet Associations to apply the rules.
Reference: https://docs.aws.amazon.com/vpc/latest/userguide/vpc-network-acls.html",Cost: None/$0 ,
VPC,VPCs should be in use,Compliance,p3,Schedule periodic checks to identify any new unused VPCs,Depends on resource usage,
VPC,VPCs peering connection route tables should have least privilege,Compliance,p3,"Open the AWS Management Console, navigate to the VPC Dashboard, and select Route Tables to ensure private subnets do not have routes directing traffic to the Internet Gateway (IGW), while public subnets should have a route for 0.0.0.0/0 to the IGW. Then, configure security groups and network ACLs for private subnets to deny unwanted inbound traffic from the Internet and verify the subnet CIDR blocks for proper access restrictions.
Reference: https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html",Cost: None/$0 ,
VPC,VPC route table should restrict public access to IGW,Compliance,p3,"To restrict public access, remove any route in the VPC route table pointing to the Internet Gateway (IGW) with 0.0.0.0/0 (IPv4) or ::/0 (IPv6). Then, add necessary private routes for internal access, such as via a NAT Gateway, and verify that no public routes remain.
Reference: https://docs.aws.amazon.com/vpc/latest/userguide/route-table-options.html",Cost: None/$0 ,
VPC,Unused EC2 security groups should be removed,Compliance,p3,"Open AWS Console, navigate to the EC2 dashboard and select ""Security Groups"" from the sidebar. Identify security groups not associated with any EC2 instances, then select the unused groups and click on the ""Actions"" dropdown to choose ""Delete security groups"" to remove them.
Reference: https://docs.aws.amazon.com/systems-manager-automation-runbooks/latest/userguide/automation-aws-delete-ec2-security-group.html",Cost: None/$0 ,
