title,control_title,Mod,priority,Recommendation Steps/Approach,COST,Unnamed: 6
RDS,RDS DB instances should have iam authentication enabled,Compliance,p2,"To enable IAM authentication for your RDS DB instances, log into the AWS Management Console and navigate to your RDS instance. Click on Modify, and in the Database options, set IAM DB Authentication to enabled. Save the changes and apply them immediately or during the next maintenance window. Additionally, ensure that your application is configured to use IAM authentication when connecting
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/UsingWithRDS.IAMDBAuth.html",Cost: None/$0 ,
RDS,RDS DB instance multiple az should be enabled,Compliance,p2,"To enable Multi-AZ deployment for RDS DB instances, log into the AWS Management Console, select your DB instance, and click on Modify. In the Availability & durability section, choose the option for Multi-AZ deployment and save your changes. Apply the modifications either immediately or during the next maintenance window.
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Concepts.MultiAZ.html
",Cost: None/$0 ,
RDS,An RDS event notifications subscription should be configured for critical database security group events,Compliance,p2,"RDS event notifications subscription for critical database security group events, log into the AWS Management Console, navigate to the RDS dashboard, and select ""Event subscriptions."" Create a new subscription by selecting the security group events you want to monitor, and specify the notification method (e.g., an SNS topic).
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Events.html#USER_Events.Subscribing
",Cost: None/$0 ,
S3,S3 bucket cross-region replication should be enabled,Compliance,p2,"Open the S3 Console, select the bucket, go to Management, add a replication rule, specify the destination bucket, enable versioning, and save changes.
Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/replication.html",Depends on data transfer and storage costs,
S3,S3 buckets should have event notifications enabled,Compliance,p2,"Enable S3 bucket event notifications to monitor changes like object creation or deletion by configuring alerts to trigger actions in SNS, SQS, or Lambda.
Open the S3 console, select your bucket, go to the Properties tab, and under Event notifications, click Create event notification to specify events like object creation or deletion and choose a destination (SNS, SQS, or Lambda).
Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/enable-event-notifications.html",Cost: None/$0  (but may incur SNS costs if used),
S3,S3 buckets should have lifecycle policies configured,Compliance,p2,"Configure S3 lifecycle policies to transition active data to Standard-IA after 30 days, archive to Glacier after 90 days, and delete objects older than 365 days; for archival data, move to Glacier after 90 days and delete after 7 years; for temporary files, delete after 7 days.
Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/lifecycle-configuration-examples.html",Cost: None/$0 ,
S3,S3 bucket object lock should be enabled,Compliance,p2,"while reating a new bucket and select Enable Object Lock during the setup, choosing the desired retention period and mode. Object Lock cannot be added to existing buckets, so you'll need to migrate objects to a newly created bucket with this feature.
Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/object-lock-configure.html",Cost: None/$0  (but may incur storage costs),
S3,AWS S3 permissions granted to other AWS accounts in bucket policies should be restricted,Compliance,p2,"Open bucket polacies, Review Current Policies and Restrict access only to trusted AWS accounts.
Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/access-grants-cross-accounts.html",Cost: None/$0 ,
S3,S3 buckets with versioning enabled should have lifecycle policies configured,Compliance,p2,"Go to the S3 console, select the bucket, and navigate to the ""Management"" tab to create a lifecycle rule. Define transitions or expirations for non-current versions, then review and save the rule.
Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/how-to-set-lifecycle-configuration-intro.html",Cost: None/$0 ,
S3,S3 public access should be blocked at bucket levels,Compliance,p2,"Go to the AWS S3 console, select the bucket, and navigate to the ""Permissions"" tab. Under the ""Block public access"" section, click ""Edit,"" enable all block options, and save the changes.
Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/configuring-block-public-access-bucket.html",Cost: None/$0 ,
Security,EC2 instances should be managed by AWS Systems Manager,AWS Well-Architected Framework,p2,Manage EC2 instances using AWS Systems Manager. Steps: 1. Enable Systems Manager for your instances. 2. Use Systems Manager features for management. # REF:https://docs.aws.amazon.com/systems-manager/latest/userguide/systems-manager.html,Cost: None/$0 ,
Security,ECR repositories should have image scan on push enabled,AWS Well-Architected Framework,p2,Enable image scanning on push for ECR repositories. Steps: 1. Go to ECR console. 2. Update repository settings to enable image scanning. # REF:https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-scanning.html,Cost: None/$0 ,
Security,ECS task definition container definitions should be checked for host mode,AWS Well-Architected Framework,p2,Review ECS task definitions to ensure host mode is configured correctly. Steps: 1. Audit container definitions. 2. Modify any that use host mode unnecessarily. # REF:https://docs.aws.amazon.com/AmazonECS/latest/developerguide/task_definitions.html,Cost: None/$0 ,
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2,Enable VPC flow logs. Steps: 1. Review VPC settings. 2. Enable flow logs to capture traffic data. # REF:https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html,Cost: None/$0 ,
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2,Ensure logging is enabled on AWS WAFv2 regional and global web access control list (ACLs). Steps: 1. Review WAF settings. 2. Enable logging if not already enabled. # REF:https://docs.aws.amazon.com/waf/latest/developerguide/logging.html,Cost: None/$0 ,
Security,VPC flow logs should be enabled,AWS Well-Architected Framework,p2,Enable VPC flow logs. Steps: 1. Review VPC settings. 2. Enable flow logs to capture traffic data. # REF:https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html,Cost: None/$0 ,
VPC,VPC should be configured to use VPC endpoints,Compliance,p2,"Open the VPC console, choose either a Gateway or Interface endpoint, select the desired service, configure the VPC and route tables or subnets, adjust security groups, and test connectivity
Reference: https://docs.aws.amazon.com/codecatalyst/latest/adminguide/managing-vpcs.endpoint.html",Cost: None/$0 ,
VPC,VPC EIPs should be associated with an EC2 instance or ENI,Compliance,p2,"Open the EC2 console, select the Elastic IP, choose to associate it with either an instance or an ENI, and complete the association.
Reference: https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/managing-network-interface-ip-addresses.html",Cost: None/$0 ,
VPC,VPC endpoint services should have acceptance required enabled,Compliance,p2,"Open the VPC console, navigate to Endpoint Services, create or modify a service, check the ""Require acceptance"" option, and save the changes.
Reference: https://docs.aws.amazon.com/vpc/latest/privatelink/configure-endpoint-service.html",Cost: None/$0 ,
VPC,VPC gateway endpoints should restrict public access,Compliance,p2,"Open the VPC console, select the endpoint, edit the endpoint policy to define access restrictions, and save the changes.
Reference: https://docs.aws.amazon.com/vpc/latest/privatelink/vpc-endpoints-access.html",Cost: None/$0 ,
VPC,VPC internet gateways should be attached to authorized vpc,Compliance,p2,"Open the VPC console, verify the attachments of existing internet gateways, attach them to authorized VPCs as needed, and detach any from unauthorized VPCs.
Reference: https://docs.aws.amazon.com/config/latest/developerguide/internet-gateway-authorized-vpc-only.html",Cost: None/$0 ,
VPC,VPCs peering connection should not be allowed in cross account,Compliance,p2,"To disallow VPC peering connections across AWS accounts, ensure that you do not create or accept any peering requests between VPCs in different accounts, implement strict IAM policies that restrict permissions for VPC peering actions, use service control policies (SCPs) in AWS Organizations to deny VPC peering actions across accounts, and regularly audit your VPC settings to identify any unauthorized peering connections.
Reference: https://docs.aws.amazon.com/vpc/latest/peering/vpc-peering-basics.html#:~:text=You%20cannot%20create%20a%20VPC,or%20only%20IPv6%20CIDR%20blocks.",Cost: None/$0 ,
VPC,VPC security groups should be associated with at least one ENI,Compliance,p2,"Open EC2 dashboard and select ""Security Groups."" For each security group, check the associated resources, and ensure that at least one ENI is attached. If a security group is not associated with any ENI, either delete the group or associate it with an active ENI.
Reference: https://docs.aws.amazon.com/config/latest/developerguide/ec2-security-group-attached-to-eni.html",Cost: None/$0 ,
VPC,VPC security groups should restrict uses of 'launch-wizard' security groups.,Compliance,p2,"Open EC2 dashboard and select ""Security Groups."" Search for any security groups named 'launch-wizard' and review their usage. Modify or replace them with properly configured security groups that follow best practices, or delete them if they are no longer in use.
Reference: https://docs.aws.amazon.com/launchwizard/latest/userguide/best-practices.html#security-groups",Cost: None/$0 ,
VPC,VPC subnet auto assign public IP should be disabled,Compliance,p2,"Open  AWS Console, navigate to the VPC dashboard, select ""Subnets,"" and choose the subnet you want to modify. Click on the ""Actions"" dropdown, select ""Edit auto-assign IP settings,"" and uncheck the ""Auto-assign public IPv4 address"" option, then save your changes.
Reference: https://docs.aws.amazon.com/config/latest/developerguide/subnet-auto-assign-public-ip-disabled.html#:~:text=Checks%20if%20Amazon%20Virtual%20Private,assigned%20a%20public%20IP%20address.",Cost: None/$0 ,
VPC,VPCs subnets should exist in multiple availability zones,Compliance,p2,"Open VPC dashboard, select your VPC, and choose ""Subnets,"" then click ""Create subnet."" Specify the subnet details, including the Availability Zone, CIDR block, and any tags, ensuring to repeat this for each zone you want to include.
Reference: https://docs.aws.amazon.com/vpc/latest/userguide/create-subnets.html",Depends on resource usage,
VPC,VPCs should have both public and private subnets configured,Compliance,p2,"To configure both public and private subnets in a VPC using the AWS Console, create subnets within your VPC and associate a route table with an Internet Gateway (IGW) for the public subnets. For private subnets, configure a route table with a NAT Gateway to allow outbound internet access while keeping them inaccessible from the public internet. Reference:https://docs.aws.amazon.com/vpc/latest/userguide/configure-subnets.html",Cost: None/$0 ,
VPC,Both VPN tunnels provided by AWS Site-to-Site,Compliance,p2,"To configure both VPN tunnels provided by AWS Site-to-Site, ensure each tunnel is properly set up with the customer gateway device using the configuration file provided by AWS. Monitor the tunnels' status and configure failover settings to automatically switch between tunnels in case one goes down.
Reference: https://docs.aws.amazon.com/vpn/latest/s2svpn/VPNTunnels.html#:~:text=You%20use%20a%20Site%2Dto,configure%20both%20tunnels%20for%20redundancy.",Costs may apply (based on data transfer and connection hours),
WAF,WAF regional rule should have at least one condition,Compliance,p2,"Navigate to the AWS WAF Console, select your web ACL, and choose Rules to add a new rule. In the rule configuration, define at least one condition using options such as IP sets, string matches, or rate-based rules to specify how requests should be evaluated?.
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/waf-controls.html#waf-2",,
WAF,WAF regional rule group should have at least one rule attached,Compliance,p2,"Open AWS WAF Console, select Rule Groups, and edit your desired rule group to attach at least one rule. This attachment allows the group to effectively filter traffic based on the conditions defined in the associated rules?.
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/waf-controls.html#waf-3",,
WAF,WAF regional web ACL should have at least one rule or rule group attached,Compliance,p2,"Open AWS WAF Console, select your Web ACL, and attach at least one rule or rule group. This attachment allows the web ACL to evaluate and filter traffic based on the defined conditions.
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/waf-controls.html#waf-4",,
WAF,WAF global rule should have at least one condition,Compliance,p2,"Open AWS WAF Console, select your rule and add the required condition to evaluate incoming requests?.
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/waf-controls.html#waf-6",,
WAF,WAF global rule group should have at least one rule,Compliance,p2,"Go to the AWS WAF console, select ""Web ACLs,"" and choose your Web ACL.
Under ""Rules,"" select ""Add rules"" and choose a global rule group, then configure at least one rule within the group.
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/waf-controls.html#waf-7",,
WAF,WAF web ACL logging should be enabled,Compliance,p2,"In the AWS WAF console, select ""Web ACLs,"" choose your Web ACL, and click ""Edit.""
Under ""Logging,"" enable logging by selecting an S3 bucket, CloudWatch Logs, or Kinesis Firehose. 
Reference: https://docs.aws.amazon.com/waf/latest/developerguide/logging.html",,
WAF,WAF global web ACL should have at least one rule or rule group,Compliance,p2,"Create a Web ACL in AWS WAF and add a rule or rule group under ""Rules"" during setup.
Assign this Web ACL to your CloudFront distribution or AWS resources (e.g., API Gateway or ALB).
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/waf-controls.html#waf-10",,
WAFv2,AWS WAF rules should have CloudWatch metrics enabled,Compliance,p2,"Navigate to AWS WAF, select your Web ACL, and ensure logging is enabled in the ""Logging and Metrics"" section. Each rule in the Web ACL automatically generates CloudWatch metrics, visible in CloudWatch under the AWS/WAFV2 namespace. 
Reference: https://docs.aws.amazon.com/securityhub/latest/userguide/waf-controls.html#waf-12",,
WAFv2,A WAFV2 web ACL should have at least one rule or rule group,Compliance,p2,"Create a Web ACL: In the AWS Management Console, navigate to AWS WAF, and create a new Web ACL. Add Rules or Rule Groups: During the setup process, add at least one rule or rule group to the Web ACL under the ""Rules"" section to meet compliance requirements.
Reference: https://docs.aws.amazon.com/config/latest/developerguide/wafv2-webacl-not-empty.html",,
WorkSpaces,WorkSpaces root and user volume encryption should be enabled,Compliance,p2,NOT YET ADDED,,
